channelId,channelTitle,title,publishedAt,videoId,date
UCyh91eTE9jA3ykg8W3_v3DQ,衛生福利部疾病管制署,2020/3/22 15:00 中央流行疫情指揮中心嚴重特殊傳染性肺炎記者會,2020-03-22T08:40:44Z,1vLra56gRak,2020-03-22
UCyh91eTE9jA3ykg8W3_v3DQ,衛生福利部疾病管制署,2020/3/2 14:00 中央流行疫情指揮中心嚴重特殊傳染性肺炎記者會,2020-03-02T07:13:26Z,SzcbCqSNQ7o,2020-03-02
UCyh91eTE9jA3ykg8W3_v3DQ,衛生福利部疾病管制署,2020/12/9 14:00 中央流行疫情指揮中心嚴重特殊傳染性肺炎記者會,2020-12-09T07:02:37Z,C4zCgWUfv14,2020-12-09
UCyh91eTE9jA3ykg8W3_v3DQ,衛生福利部疾病管制署,2021/2/25 14:00 中央流行疫情指揮中心嚴重特殊傳染性肺炎記者會,2021-02-25T06:30:14Z,xkPifepCXSw,2021-02-25
UCyh91eTE9jA3ykg8W3_v3DQ,衛生福利部疾病管制署,2020/2/27 15:30 中央流行疫情指揮中心嚴重特殊傳染性肺炎記者會,2020-02-27T09:12:37Z,VfVtjXQBzP0,2020-02-27
UCyh91eTE9jA3ykg8W3_v3DQ,衛生福利部疾病管制署,2020/2/3 中央流行疫情指揮中心嚴重特殊傳染性肺炎記者會,2020-02-03T10:30:16Z,iZGaYRbWoJI,2020-02-03
UCyh91eTE9jA3ykg8W3_v3DQ,衛生福利部疾病管制署,2020/4/8 14:00 中央流行疫情指揮中心嚴重特殊傳染性肺炎記者會,2020-04-08T07:13:24Z,haU-ucoXNuM,2020-04-08
UCyh91eTE9jA3ykg8W3_v3DQ,衛生福利部疾病管制署,2020/11/11 14:00 中央流行疫情指揮中心嚴重特殊傳染性肺炎記者會,2020-11-11T06:52:33Z,m0XZl6Tz2H0,2020-11-11
UCyh91eTE9jA3ykg8W3_v3DQ,衛生福利部疾病管制署,2020/1/26 中央流行疫情指揮中心嚴重特殊傳染性肺炎記者會,2020-01-26T04:30:48Z,ipv5JbRwnmE,2020-01-26
UCyh91eTE9jA3ykg8W3_v3DQ,衛生福利部疾病管制署,2020/10/7 14:00 中央流行疫情指揮中心嚴重特殊傳染性肺炎記者會,2020-10-07T06:46:40Z,KzKUMoNWmWI,2020-10-07
UCyh91eTE9jA3ykg8W3_v3DQ,衛生福利部疾病管制署,2020/5/12 14:00 中央流行疫情指揮中心嚴重特殊傳染性肺炎記者會,2020-05-12T06:44:18Z,s_HfPzDEm64,2020-05-12
UCyh91eTE9jA3ykg8W3_v3DQ,衛生福利部疾病管制署,2020/2/20 16:00 中央流行疫情指揮中心嚴重特殊傳染性肺炎記者會,2020-02-20T09:10:12Z,SEeyQaDV8JE,2020-02-20
UCyh91eTE9jA3ykg8W3_v3DQ,衛生福利部疾病管制署,2020/5/13 14:00 中央流行疫情指揮中心嚴重特殊傳染性肺炎記者會,2020-05-13T06:53:47Z,QiuzUUl4Shc,2020-05-13
UCyh91eTE9jA3ykg8W3_v3DQ,衛生福利部疾病管制署,2020/5/23 13:00 中央流行疫情指揮中心嚴重特殊傳染性肺炎記者會,2020-05-23T05:18:26Z,z4O3WFpu8S8,2020-05-23
